Academic Year,school_pre,school_pri,school_l.sec,school_u.sec,class_pre,class_pri,class_l.sec,class_u.sec,student_pre,student_pri,student_l.sec,student_u.sec,staff_pre,staff_pri,staff_l.sec,staff_u.sec
1979-80,96.0,,14.0,1.0,230.0,12069.0,101.0,7.0,8229.0,947317.0,4803.0,281.0,267.0,13619.0,205.0,20.0
1980-81,149.0,,62.0,2.0,446.0,25526.0,394.0,14.0,15077.0,1328053.0,17291.0,555.0,630.0,30316.0,671.0,28.0
1981-82,213.0,3521.0,96.0,5.0,448.0,31909.0,938.0,33.0,16579.0,1538839.0,39515.0,1517.0,818.0,31884.0,1586.0,65.0
1982-83,371.0,3114.0,173.0,7.0,823.0,33740.0,1949.0,73.0,23797.0,1597081.0,87005.0,3493.0,956.0,34859.0,3300.0,158.0
1983-84,500.0,3005.0,200.0,13.0,1128.0,33287.0,3089.0,149.0,25466.0,1504839.0,145726.0,7639.0,1493.0,35479.0,4494.0,271.0
1984-85,541.0,3133.0,222.0,19.0,1420.0,33345.0,4698.0,211.0,39920.0,1367089.0,234927.0,10888.0,1835.0,35578.0,6116.0,468.0
1985-86,689.0,2294.0,278.0,28.0,1557.0,31062.0,5730.0,266.0,56165.0,1315531.0,297775.0,14020.0,2398.0,35080.0,7416.0,617.0
1986-87,551.0,4282.0,304.0,33.0,1864.0,30946.0,6262.0,364.0,55760.0,1294227.0,327049.0,18799.0,2625.0,36754.0,8967.0,858.0
1987-88,560.0,4780.0,337.0,40.0,2059.0,30890.0,6538.0,497.0,59679.0,1279053.0,326403.0,26176.0,3017.0,37292.0,10866.0,1064.0
1988-89,679.0,4730.0,373.0,49.0,2195.0,31384.0,6265.0,650.0,61349.0,1313689.0,289064.0,35125.0,3209.0,36930.0,11702.0,1403.0
1989-90,416.0,4773.0,394.0,61.0,2181.0,31553.0,5602.0,817.0,56017.0,1276957.0,244842.0,43561.0,3383.0,41261.0,12702.0,1766.0
1990-91,397.0,4665.0,397.0,66.0,1789.0,32858.0,5064.0,919.0,51421.0,1322143.0,201496.0,47562.0,2959.0,40014.0,14351.0,2057.0
1991-92,221.0,4555.0,407.0,80.0,1714.0,33142.0,4848.0,1084.0,48207.0,1371694.0,183025.0,53857.0,2736.0,40631.0,14668.0,3149.0
1992-93,220.0,4539.0,358.0,82.0,1712.0,35025.0,4844.0,1216.0,50976.0,1468958.0,183793.0,55570.0,2920.0,42405.0,13107.0,6439.0
1993-94,203.0,4693.0,354.0,89.0,1700.0,36798.0,5402.0,1350.0,53080.0,1621685.0,224273.0,61506.0,2682.0,44454.0,13621.0,7645.0
1994-95,184.0,4744.0,363.0,90.0,1586.0,39159.0,6001.0,1244.0,49591.0,1703316.0,246198.0,51357.0,2628.0,44985.0,12179.0,8784.0
1995-96,188.0,4845.0,350.0,92.0,1516.0,40691.0,5851.0,1561.0,48721.0,1805631.0,235155.0,52920.0,2519.0,45753.0,11315.0,8806.0
1996-97,812.0,4899.0,351.0,106.0,1438.0,43469.0,6304.0,1370.0,44814.0,1918985.0,265895.0,61671.0,2071.0,47147.0,17459.0,3246.0
1997-98,793.0,5026.0,350.0,125.0,1393.0,45443.0,5926.0,1653.0,43358.0,2011772.0,229102.0,73849.0,1971.0,48460.0,17399.0,3825.0
1998-99,806.0,5156.0,355.0,132.0,1414.0,48370.0,5903.0,1860.0,45068.0,2094000.0,226057.0,82110.0,1983.0,49400.0,17582.0,4561.0
1999-00,874.0,5274.0,363.0,140.0,1523.0,50960.0,5951.0,2262.0,50597.0,2211738.0,233278.0,108213.0,2125.0,50188.0,18033.0,5083.0
2000-01,915.0,5468.0,367.0,151.0,1605.0,55448.0,6860.0,2299.0,55798.0,2408109.0,283578.0,105086.0,2181.0,52168.0,18952.0,5000.0
2001-02,1015.0,5741.0,379.0,163.0,1772.0,60698.0,7795.0,2443.0,63747.0,2705453.0,351635.0,113404.0,2346.0,54519.0,19650.0,5234.0
2002-03,1145.0,5915.0,411.0,183.0,2041.0,59897.0,8799.0,2721.0,64727.0,2747411.0,415703.0,128182.0,2538.0,57077.0,19841.0,6070.0
2003-04,1238.0,6063.0,486.0,212.0,2205.0,60985.0,9566.0,3165.0,72224.0,2747080.0,459986.0,153758.0,2697.0,59271.0,21307.0,6341.0
2004-05,1345.0,6180.0,578.0,232.0,2316.0,61648.0,10744.0,3513.0,72214.0,2682129.0,528940.0,177129.0,2833.0,60841.0,21985.0,6829.0
2005-06,1429.0,6277.0,670.0,252.0,2413.0,61901.0,11783.0,3996.0,75669.0,2558467.0,588333.0,204925.0,2882.0,61657.0,21729.0,7981.0
2006-07,1524.0,6365.0,846.0,283.0,2548.0,61249.0,12633.0,4303.0,77899.0,2461135.0,626005.0,222271.0,2978.0,59889.0,24052.0,7722.0
2007-08,1634.0,6476.0,1006.0,315.0,2678.0,60384.0,13300.0,4968.0,79585.0,2311107.0,637629.0,260965.0,3130.0,58776.0,27240.0,7857.0
2008-09,1798.0,6565.0,1122.0,349.0,2916.0,60227.0,13281.0,5604.0,90036.0,2262834.0,605707.0,292423.0,3247.0,56978.0,27784.0,10681.0
2009-10,1895.0,6665.0,1172.0,383.0,3111.0,58062.0,13024.0,6311.0,99130.0,2240651.0,585115.0,323583.0,3353.0,56670.0,28252.0,11680.0
2010-11,2092.0,6767.0,1189.0,407.0,3343.0,57697.0,12504.0,6786.0,103315.0,2191192.0,560868.0,334734.0,3711.0,56339.0,30012.0,11686.0
2011-12,2575.0,6849.0,1196.0,426.0,4006.0,58594.0,12251.0,6750.0,121306.0,2142464.0,541147.0,318165.0,4032.0,56344.0,31698.0,11706.0
2012-13,2813.0,6910.0,1214.0,433.0,4248.0,58837.0,12184.0,6361.0,128257.0,2173384.0,534710.0,288789.0,4309.0,56108.0,31815.0,12880.0
2013-14,3184.0,6993.0,1244.0,444.0,4929.0,59454.0,12281.0,6031.0,157288.0,2073811.0,538626.0,266293.0,4717.0,55958.0,32616.0,13330.0
2014-15,3443.0,7051.0,1249.0,455.0,5261.0,59654.0,12390.0,5933.0,163468.0,2012175.0,546864.0,262072.0,5027.0,55788.0,32525.0,14055.0
2015-16,3706.0,7085.0,1251.0,463.0,5974.0,60224.0,12590.0,6020.0,173893.0,2010673.0,558621.0,266449.0,4722.0,56421.0,33164.0,14434.0
2016-17,4014.0,7144.0,1245.0,486.0,6403.0,61255.0,12838.0,6217.0,190148.0,2022061.0,585971.0,279480.0,5084.0,57844.0,33763.0,14457.0
2017-18,4176.0,7189.0,1237.0,510.0,6825.0,61635.0,13215.0,6684.0,205492.0,2028694.0,605067.0,303871.0,5398.0,57915.0,33171.0,15172.0
2018-19,4301.0,7228.0,1246.0,525.0,7122.0,62208.0,13388.0,7179.0,217509.0,2040257.0,610261.0,321145.0,5559.0,57811.0,33638.0,15761.0
2019-20,4409.0,7282.0,1247.0,544.0,7761.0,62402.0,13690.0,7406.0,233132.0,2023473.0,618968.0,334712.0,5678.0,57347.0,32620.0,17442.0
2020-21,4493.0,7304.0,1246.0,554.0,8687.0,62936.0,14305.0,8026.0,229092.0,2010286.0,632303.0,351794.0,5717.0,57300.0,33274.0,17879.0
2021-22,4563.0,7306.0,1253.0,559.0,8482.0,63263.0,15307.0,8857.0,217787.0,2036566.0,662106.0,360617.0,5934.0,58040.0,33386.0,18189.0
