Province,,Schools,Classes,Enrollment_Total,Enrollment_Girl,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Govern_Staff,Foreigner_Staff_Total,Foreigner_Staff_Female,Buildings,Rooms,Classrooms,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,Total_PostGrad,Total_PhD,NT_Primary,Female_LSec,Female_USec,Female_Graduate,Female_PostGrad,Female_PhD,NoPed_Primary,NoPedTrain_LSec,NoPedTrain_USec,NoPedTrain_Graduate,NoPedTrain_PostGrad,NoPedTrain_PhD,Grade_1_Promotion,Grade_1_Repetition,Grade_1_Dropout,Grade_2_Promotion,Grade_2_Repetition,Grade_2_Dropout,Grade_3_Promotion,Grade_3_Repetition,Grade_3_Dropout,Grade_4_Promotion,Grade_4_Repetition,Grade_4_Dropout,Grade_5_Promotion,Grade_5_Repetition,Grade_5_Dropout,Grade_6_Promotion,Grade_6_Repetition,Grade_6_Dropout,Grade_7_Promotion,Grade_7_Repetition,Grade_7_Dropout,Grade_8_Promotion,Grade_8_Repetition,Grade_8_Dropout,Grade_9_Promotion,Grade_9_Repetition,Grade_9_Dropout,Grade_10_Promotion,Grade_10_Repetition,Grade_10_Dropout,Grade_11_Promotion,Grade_11_Repetition,Grade_11_Dropout,Grade_12_Promotion,Grade_12_Repetition,Grade_12_Dropout
Koh Kong,2019,29,159,4133,2101,190,118,23,12,57,7,6,58,249,143,698,344,31,12,630,315,18,11,380,205,12,6,357,177,15,6,267,134,3,0,231,106,0,0,161,103,0,0,121,50,0,0,92,46,7,2,20,8,0,0,0,0,0,0,0,0,0,0,4133,2101,86,37,23,19,109,36,3,0,12,11,78,16,1,0,0,0,10,3,0,0,90.0,4.4,5.6,59.2,2.9,37.9,93.8,3.2,3.0,73.9,4.2,21.9,86.4,1.1,12.5,69.7,0.0,30.3,75.2,0.0,24.8,76.0,0.0,24.0,15.9,7.6,76.5,0.0,0.0,100.0,,,,,,
Kratie,2019,8,34,706,395,76,43,35,20,2,14,10,12,74,34,172,103,10,6,136,96,5,2,44,23,0,0,32,23,0,0,9,5,0,0,4,3,0,0,19,11,0,0,24,7,1,0,23,13,2,2,21,11,0,0,15,10,0,0,9,3,1,0,706,395,19,10,3,3,12,51,7,0,3,3,11,23,3,0,0,0,1,4,0,0,78.2,5.8,16.0,29.9,3.7,66.4,72.7,0.0,27.3,28.1,0.0,71.9,44.4,0.0,55.6,100.0,0.0,0.0,100.0,0.0,0.0,95.8,4.2,0.0,91.3,8.7,0.0,71.4,0.0,28.6,60.0,0.0,40.0,31.8,11.1,57.1
Mondul Kiri,2019,8,20,406,190,40,30,16,14,0,0,0,7,35,20,65,27,0,0,48,28,0,0,36,10,0,0,26,9,0,0,25,10,0,0,19,11,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,190,0,0,0,5,11,23,1,0,0,5,11,13,1,0,0,0,0,0,0,0,73.8,0.0,26.2,75.0,0.0,25.0,72.2,0.0,27.8,96.2,0.0,3.8,76.0,0.0,24.0,52.6,0.0,47.4,0.0,0.0,100.0,,,,,,,,,,,,,,,
Otdar Meanchey,2019,6,51,1361,625,29,20,5,2,3,0,0,8,51,30,275,126,29,11,261,102,13,1,149,80,2,1,128,52,4,3,116,57,0,0,114,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,625,48,16,0,2,26,1,0,0,0,2,17,1,0,0,0,0,1,0,0,0,89.4,10.6,0.0,55.1,5.0,39.9,85.8,1.3,12.9,90.4,3.1,6.4,98.3,0.0,1.7,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Pailin,2019,20,116,2400,1156,103,89,19,9,13,3,1,26,182,94,497,233,0,0,394,201,2,1,322,169,0,0,203,96,0,0,163,78,0,0,147,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1156,3,1,0,5,49,49,0,0,0,5,47,37,0,0,0,0,12,4,0,0,79.3,0.0,20.7,81.6,0.5,17.9,63.0,0.0,37.0,80.3,0.0,19.7,90.2,0.0,9.8,0.0,0.7,100.0,,,,,,,,,,,,,,,,,,
Phnom Penh,2019,638,5947,133809,66571,8425,4892,5196,3116,2894,722,388,676,12292,5166,15153,7301,398,150,15604,7678,357,184,12487,6286,227,122,10495,5125,227,102,10337,5178,246,105,9966,4928,182,90,8173,4108,44,16,6480,3251,26,11,6159,3160,100,41,5799,2951,5,1,4799,2498,9,0,4086,2119,33,14,133809,66571,1854,836,68,368,1774,5693,510,12,49,271,1211,3176,179,6,14,18,180,984,52,0,97.4,2.6,0.0,79.6,2.3,18.1,83.8,1.8,14.4,97.8,2.2,0.0,96.4,2.4,1.2,81.7,1.8,16.5,79.2,0.5,20.3,95.0,0.4,4.6,94.1,1.6,4.3,82.7,0.1,17.2,85.1,0.2,14.7,69.8,0.8,29.4
Preah Sihanouk,2019,48,343,7962,3709,518,275,137,90,226,87,68,51,687,307,921,413,87,35,875,411,29,19,680,332,12,8,508,223,8,1,501,249,11,2,479,238,1,1,455,208,12,3,406,189,12,0,350,179,7,4,323,157,0,0,258,111,0,0,224,106,1,0,7962,3709,180,73,8,57,193,239,14,7,7,21,126,114,4,3,0,15,24,39,1,0,90.6,9.4,0.0,77.1,3.3,19.6,74.2,1.8,24.0,98.4,1.6,0.0,95.6,2.2,2.2,95.0,0.2,4.8,89.0,2.6,8.4,85.8,3.0,11.2,92.2,2.0,5.8,79.9,0.0,20.1,86.8,0.0,13.2,69.0,0.4,30.6
Preah Vihear,2019,4,19,217,105,21,15,5,3,11,2,0,8,40,36,37,19,1,1,35,15,2,0,22,12,0,0,27,8,1,0,17,8,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,105,4,1,0,0,9,12,0,0,0,0,9,6,0,0,0,0,0,0,0,0,94.5,2.7,2.8,61.0,5.7,33.3,100.0,0.0,0.0,61.7,3.7,34.6,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Prey Veng,2019,7,26,552,239,45,29,11,6,0,1,0,15,71,26,90,31,2,1,85,33,0,0,55,21,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,45,31,0,0,45,22,0,0,552,239,2,1,1,2,3,34,5,0,1,1,3,24,0,0,0,0,0,0,0,0,94.4,2.2,3.4,64.7,0.0,35.3,23.6,0.0,76.4,0.0,0.0,100.0,,,,,,,,,,,,,,,,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Pursat,2019,11,46,1406,685,77,65,34,26,23,0,0,16,108,44,326,159,0,0,169,86,0,0,95,52,0,0,40,23,0,0,63,29,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,685,0,0,12,1,21,41,2,0,12,1,14,38,0,0,0,0,0,5,0,0,51.8,0.0,48.2,56.2,0.0,43.8,42.1,0.0,57.9,100.0,0.0,0.0,31.8,0.0,68.2,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Ratanak Kiri,2019,13,132,2971,1407,290,162,179,100,185,0,0,31,284,103,264,149,10,3,349,172,3,1,269,129,0,0,218,109,0,0,203,88,0,0,195,87,0,0,123,56,0,0,94,40,0,0,102,39,4,3,68,27,0,0,40,23,0,0,53,21,0,0,2971,1407,17,7,0,3,143,141,3,0,0,3,89,70,0,0,0,0,2,2,1,0,96.2,3.8,0.0,76.8,0.9,22.2,81.0,0.0,19.0,93.1,0.0,6.9,96.1,0.0,3.9,63.1,0.0,36.9,76.4,0.0,23.6,100.0,0.0,0.0,65.5,3.9,30.6,58.8,0.0,41.2,100.0,0.0,0.0,58.8,0.0,41.2
Siemreap,2019,83,581,12504,6318,921,611,280,186,251,129,101,102,959,483,1215,592,40,11,1099,537,14,5,809,426,9,4,674,341,6,1,549,269,1,0,517,270,2,0,512,258,4,1,394,187,3,0,327,180,2,0,252,114,0,0,271,100,1,0,162,83,0,0,12504,6318,82,22,4,12,247,632,24,2,2,7,199,396,7,0,0,3,12,40,1,2,90.2,3.3,6.5,73.3,1.3,25.4,83.2,1.1,15.8,81.3,0.9,17.8,94.1,0.2,5.7,99.0,0.4,0.6,76.8,0.8,22.4,82.8,0.8,16.4,76.9,0.6,22.5,100.0,0.0,0.0,59.6,0.4,40.0,60.0,0.0,40.0
Stung Treng,2019,11,51,863,432,70,43,11,7,23,11,10,7,47,40,63,26,17,8,80,36,3,0,52,24,1,0,39,10,3,0,52,28,1,0,34,21,2,0,29,13,0,0,25,13,0,0,19,14,0,0,0,0,0,0,0,0,0,0,4,2,0,0,863,432,27,8,0,3,31,35,0,1,0,3,21,18,0,1,0,0,3,10,0,0,73.0,27.0,0.0,63.7,3.8,32.5,74.6,1.9,23.5,92.3,7.7,0.0,64.8,1.9,33.3,84.7,5.9,9.4,86.2,0.0,13.8,76.0,0.0,24.0,0.0,0.0,100.0,,,,,,,,0.0,
Svay Rieng,2019,13,41,853,444,66,54,48,33,8,15,15,8,84,41,179,98,13,3,88,44,2,0,86,47,0,0,75,46,0,0,27,12,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,207,15,3,4,5,40,17,0,0,4,5,28,17,0,0,0,0,1,11,0,0,45.7,7.3,47.0,97.7,2.3,0.0,87.2,0.0,12.8,36.0,0.0,64.0,66.7,0.0,33.3,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Takeo,2019,40,174,3557,1687,346,152,122,62,158,9,5,60,358,169,268,121,5,2,264,129,3,2,181,115,5,1,159,73,2,0,143,59,0,0,90,30,0,0,292,148,2,0,222,99,2,1,188,82,0,0,220,105,3,1,197,78,0,0,153,83,2,0,3557,1687,24,7,7,16,94,205,24,0,4,12,48,83,5,0,0,2,10,12,0,0,98.1,1.9,0.0,68.2,1.1,30.6,87.5,2.8,9.7,89.8,1.3,8.9,62.9,0.0,37.1,100.0,0.0,0.0,75.8,0.7,23.4,84.6,0.9,14.6,100.0,0.0,0.0,89.4,1.4,9.2,77.7,0.0,22.3,69.2,1.3,29.5
Tbaung Khmum,2019,31,160,4365,2584,268,174,48,23,33,29,24,46,453,187,476,235,29,12,365,181,24,13,315,167,22,12,264,138,15,7,382,163,8,5,264,159,5,2,442,320,1,1,380,292,1,1,273,236,8,8,213,162,0,0,92,76,0,0,79,64,0,0,4365,2584,113,61,4,14,75,168,6,1,4,8,57,104,0,1,0,0,6,28,0,0,75.6,6.1,18.3,85.8,6.6,7.6,83.1,7.0,9.9,94.3,5.7,0.0,68.5,2.1,29.4,98.1,1.9,0.0,86.0,0.2,13.8,71.7,0.3,28.0,77.5,2.9,19.6,43.2,0.0,56.8,85.9,0.0,14.1,37.1,0.0,62.9
Banteay Meanchey,2020,140,908,20437,10067,1261,714,246,131,,89,48,248,2220,768,2797,1306,113,41,2067,1003,44,18,1808,850,19,8,1834,897,15,6,1644,855,10,2,1519,762,3,0,1397,707,15,6,1297,651,9,3,1216,644,7,2,835,450,3,3,678,327,4,3,566,272,34,15,20437,10067,276,107,18,72,535,559,73,4,13,48,341,291,21,0,2,3,31,20,0,0,73.0,4.0,23.0,87.3,2.1,10.6,99.0,1.0,0.0,89.6,0.8,9.6,92.4,0.6,7.0,92.0,0.2,7.8,92.8,1.1,6.2,93.7,0.7,5.6,68.5,0.6,30.9,81.1,0.4,18.5,83.4,0.6,16.0,62.4,6.0,31.6
Battambang,2020,61,484,9270,4563,939,569,351,216,,63,37,90,1182,456,960,442,48,27,756,328,10,4,655,313,3,2,648,301,6,3,532,243,4,0,479,242,1,0,627,310,5,2,612,321,7,2,636,331,12,5,601,333,2,1,585,308,0,0,577,318,15,10,9270,4563,113,56,17,66,244,512,100,0,17,34,177,310,31,0,1,2,21,19,0,0,77.9,5.0,17.1,86.5,1.3,12.2,98.9,0.5,0.6,82.0,0.9,17.1,89.9,0.8,9.3,99.8,0.2,0.0,97.6,0.8,1.6,98.9,1.1,0.0,94.4,1.9,3.7,97.4,0.3,2.3,98.6,0.0,1.4,93.7,2.6,3.7
Kampong Cham,2020,36,246,4195,2144,284,176,71,33,,8,2,62,291,190,493,248,11,6,363,181,11,1,382,192,15,3,405,213,0,0,330,173,10,5,291,168,0,0,232,128,2,0,244,120,0,0,266,138,0,0,163,77,0,0,104,42,0,0,104,50,0,0,4195,2144,49,15,16,11,117,138,2,0,9,4,83,80,0,0,4,0,12,8,0,0,73.1,2.2,24.7,97.0,3.0,0.0,96.1,3.9,0.0,81.5,0.0,18.5,87.9,3.0,9.1,79.7,0.0,20.3,99.1,0.9,0.0,100.0,0.0,0.0,61.3,0.0,38.7,63.8,0.0,36.2,100.0,0.0,0.0,63.8,0.0,36.2
Kampong Chhnang,2020,28,175,3706,1640,328,205,87,60,,26,19,67,443,172,441,192,4,3,349,151,3,1,331,158,1,0,299,135,0,0,305,151,0,0,195,88,0,0,241,88,1,0,208,77,0,0,207,87,0,0,137,46,0,0,127,42,0,0,92,31,0,0,3706,1640,9,4,7,17,142,158,4,0,6,14,97,88,0,0,0,0,2,10,1,0,79.0,0.9,20.1,94.8,0.9,4.3,90.3,0.3,9.4,100.0,0.0,0.0,63.9,0.0,36.1,100.0,0.0,0.0,86.3,0.4,13.3,99.5,0.0,0.5,66.2,0.0,33.8,92.7,0.0,7.3,72.4,0.0,27.6,67.2,0.0,32.8
Kampong Speu,2020,64,460,7781,3746,591,378,133,59,,48,32,129,862,381,1287,614,52,18,1033,512,38,10,801,376,18,4,620,303,9,3,466,217,13,3,338,173,0,0,329,146,0,0,198,97,0,0,182,104,0,0,91,44,0,0,74,33,0,0,74,43,6,3,7781,3746,136,41,57,18,191,298,26,1,38,10,146,171,13,0,0,3,35,22,1,0,79.6,4.0,16.4,76.8,3.7,19.5,77.0,2.2,20.8,74.9,1.4,23.7,71.8,2.8,25.4,97.3,0.0,2.7,60.2,0.0,39.8,91.9,0.0,8.1,50.0,0.0,50.0,81.3,0.0,18.7,100.0,0.0,0.0,73.2,8.1,18.7
Kampong Thom,2020,55,204,4551,2205,309,174,74,39,,31,22,82,502,187,899,431,35,13,647,308,41,20,425,204,30,16,385,167,15,7,283,144,17,11,299,156,18,10,219,115,0,0,203,111,0,0,135,63,3,0,91,43,0,0,88,38,0,0,49,25,1,1,4551,2205,160,78,58,23,83,135,10,0,22,18,67,66,1,0,1,1,11,10,0,0,71.0,3.9,25.1,63.8,6.3,29.9,90.4,7.1,2.5,72.6,3.9,23.5,94.0,6.0,0.0,71.9,6.0,22.1,92.7,0.0,7.3,66.5,0.0,33.5,66.7,2.2,31.1,96.7,0.0,3.3,55.7,0.0,44.3,51.8,2.0,46.2
Kampot,2020,42,327,8698,4592,568,292,94,59,,14,12,97,688,301,1365,723,21,10,1077,580,18,7,1025,549,8,7,719,382,3,2,492,274,1,1,442,229,5,5,597,300,12,11,449,221,3,1,502,250,3,2,392,201,1,1,375,215,0,0,379,195,0,0,8698,4592,75,47,41,69,144,283,31,0,18,55,81,133,5,0,20,12,17,34,4,0,78.6,1.5,19.9,95.1,1.7,3.2,69.9,0.8,29.3,68.3,0.4,31.3,89.8,0.2,10.0,98.9,1.1,0.0,74.8,2.0,23.2,99.3,0.7,0.0,78.0,0.6,21.4,95.6,0.3,4.1,100.0,0.0,0.0,95.9,0.0,4.1
Kandal,2020,88,620,14542,7164,753,455,326,168,,86,31,176,1578,571,1844,929,73,32,1462,735,26,12,1338,676,37,14,1149,601,20,8,906,446,28,12,763,426,22,7,879,367,4,2,805,388,2,1,772,379,2,0,648,316,1,1,512,221,2,0,494,241,5,1,14542,7164,222,90,40,52,255,368,37,1,27,40,198,179,10,1,2,2,24,25,0,0,78.6,4.0,17.4,91.4,1.8,6.8,85.5,2.8,11.7,78.6,1.7,19.8,83.8,3.1,13.1,97.1,2.9,0.0,91.5,0.5,8.0,95.9,0.2,3.9,83.9,0.3,15.8,78.9,0.2,20.9,96.5,0.4,3.1,75.6,1.0,23.4
Kep,2020,3,18,536,300,25,19,4,3,,18,13,4,21,18,214,116,0,0,135,82,0,0,83,49,0,0,32,17,0,0,19,12,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,300,0,0,14,1,0,10,0,0,10,1,0,8,0,0,0,0,0,0,0,0,63.1,0.0,36.9,61.5,0.0,38.5,38.6,0.0,61.4,59.4,0.0,40.6,84.2,0.0,15.8,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Koh Kong,2020,18,91,2307,1189,119,78,25,7,,3,2,42,188,86,430,218,2,1,283,157,3,1,305,145,2,1,234,121,2,1,193,106,1,0,166,87,0,0,46,28,0,0,52,18,0,0,61,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,1189,10,4,8,13,65,32,1,0,7,8,48,15,0,0,1,0,9,0,0,0,65.6,0.5,33.9,98.9,1.1,0.0,76.5,0.7,22.8,82.4,0.8,16.8,86.0,0.5,13.5,27.7,0.0,72.3,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,
Kratie,2020,9,61,1192,662,87,68,74,47,,0,4,16,113,53,523,319,0,0,168,97,2,0,104,63,0,0,43,16,0,0,39,18,1,0,15,5,0,0,21,12,0,0,13,6,0,0,24,11,0,0,14,4,0,0,20,13,0,0,25,14,1,1,1192,662,4,1,21,6,16,34,10,0,19,5,14,24,6,0,12,1,3,0,0,0,32.1,0.0,67.9,61.4,1.2,37.4,41.4,0.0,58.6,90.7,0.0,9.3,36.9,2.6,60.5,100.0,0.0,0.0,61.9,0.0,38.1,100.0,0.0,0.0,58.3,0.0,41.7,100.0,0.0,0.0,100.0,0.0,0.0,96.0,4.0,0.0
Mondul Kiri,2020,9,34,550,251,60,34,30,12,,7,5,12,46,34,94,44,3,2,59,27,1,1,56,20,1,0,39,20,0,0,32,14,1,0,23,11,0,0,35,12,2,1,37,14,0,0,29,12,0,0,18,10,0,0,15,5,0,0,13,7,0,0,550,251,8,4,0,3,28,28,1,0,0,3,20,11,0,0,0,0,0,0,0,0,61.6,3.2,35.2,94.8,1.7,3.4,69.1,1.8,29.1,82.0,0.0,18.0,71.1,3.1,25.8,100.0,0.0,0.0,94.3,5.7,0.0,78.4,0.0,21.6,62.1,0.0,37.9,83.3,0.0,16.7,86.7,0.0,13.3,72.2,0.0,27.8
Otdar Meanchey,2020,12,75,2008,930,81,55,10,4,,0,0,26,106,56,445,211,16,7,334,156,14,3,262,111,4,2,298,125,0,0,202,102,0,0,157,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,930,34,12,1,8,63,7,2,0,0,5,44,6,0,0,0,2,8,0,0,0,74.3,3.6,22.1,77.7,4.2,18.1,98.5,1.5,0.0,67.8,0.0,32.2,77.7,0.0,22.3,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Pailin,2020,17,96,1721,835,79,66,24,12,,0,0,31,207,83,340,167,10,4,264,127,3,1,229,105,2,1,148,69,0,0,134,67,2,1,124,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,835,17,7,0,6,51,22,0,0,0,5,44,17,0,0,0,0,8,1,0,0,77.1,2.9,20.0,86.6,1.1,12.3,64.3,0.9,34.8,90.5,0.0,9.5,92.4,1.5,6.1,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Phnom Penh,2020,776,6072,117304,59085,6847,4067,4358,2731,,2550,1454,981,17049,5551,14064,6772,303,152,11589,5851,181,101,10893,5401,236,114,10790,5318,127,64,9139,4563,110,53,7473,3832,54,51,7696,3857,53,32,7213,3686,43,15,6721,3614,48,17,5461,2750,14,5,5026,2623,11,4,4482,2366,7,0,117304,59085,1187,608,212,340,1155,4475,583,82,159,245,845,2548,242,28,19,38,176,621,66,3,82.0,2.2,15.8,93.9,1.6,4.5,97.8,2.2,0.0,84.5,1.2,14.3,81.6,1.2,17.2,99.3,0.7,0.0,93.7,0.7,5.6,93.1,0.6,6.3,81.1,0.7,18.2,92.0,0.3,7.7,89.2,0.2,10.6,82.3,0.2,17.5
Preah Sihanouk,2020,61,506,8573,4126,533,294,109,59,,86,63,103,1012,325,1346,654,112,53,1034,507,36,14,795,373,13,2,644,345,11,4,590,276,2,0,453,226,5,2,418,189,0,0,383,187,0,0,372,174,4,1,311,145,0,0,256,115,0,0,266,128,1,0,8573,4126,184,76,12,44,168,288,21,0,10,36,111,134,3,0,2,6,22,55,4,0,75.5,8.3,16.2,76.2,3.5,20.3,80.8,1.6,17.6,91.5,1.7,6.8,76.7,0.3,23.0,92.2,1.1,6.7,91.6,0.0,8.4,97.1,0.0,2.9,83.4,1.1,15.5,82.3,0.0,17.7,100.0,0.0,0.0,81.9,0.4,17.7
Preah Vihear,2020,4,13,180,83,14,11,10,8,,0,0,5,43,13,63,26,3,1,18,14,0,0,11,5,1,0,14,8,0,0,13,5,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,83,4,1,0,3,11,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,25.2,4.8,70.0,61.1,0.0,38.9,90.9,9.1,0.0,92.9,0.0,7.1,53.8,0.0,46.2,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Prey Veng,2020,5,14,247,145,33,19,5,3,,0,0,8,54,14,14,7,0,0,0,0,0,0,12,4,0,0,7,5,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,0,0,45,26,0,0,45,31,0,0,247,145,0,0,0,1,9,20,3,0,0,1,9,9,0,0,0,0,2,0,0,0,0.0,0.0,100.0,,,,58.3,0.0,41.7,28.6,0.0,71.4,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Pursat,2020,6,33,710,366,45,39,22,14,,2,0,12,59,33,61,35,0,0,34,19,0,0,16,8,0,0,8,4,0,0,3,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,366,0,0,0,0,26,17,2,0,0,0,22,16,1,0,0,0,6,7,0,0,55.7,0.0,44.3,47.1,0.0,52.9,50.0,0.0,50.0,37.5,0.0,62.5,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Ratanak Kiri,2020,12,122,2197,1041,151,85,33,21,,0,0,14,97,86,343,140,0,0,212,88,0,0,135,77,0,0,168,83,0,0,160,89,0,0,117,61,0,0,125,51,0,0,102,48,1,0,86,40,0,0,76,29,0,0,75,31,0,0,73,36,0,0,2197,1041,1,0,0,17,58,75,1,0,0,15,39,31,0,0,0,2,3,0,0,0,61.8,0.0,38.2,63.7,0.0,36.3,100.0,0.0,0.0,95.2,0.0,4.8,73.1,0.0,26.9,100.0,0.0,0.0,81.6,0.0,18.4,84.2,1.0,14.8,88.4,0.0,11.6,98.7,0.0,1.3,97.3,0.0,2.7,96.0,0.0,4.0
Siemreap,2020,123,823,18412,6934,1397,915,546,347,,203,131,223,1687,700,1499,772,72,37,1060,519,24,8,1033,467,20,7,1085,516,4,1,851,425,19,12,706,346,7,2,827,416,6,0,843,417,3,2,833,407,3,3,666,326,2,1,593,307,1,0,518,255,5,4,18412,6934,166,77,33,68,464,766,63,3,24,57,370,440,22,2,11,19,52,25,0,0,69.5,4.8,25.7,97.4,2.3,0.3,98.1,1.9,0.0,78.3,0.4,21.3,82.7,2.2,15.1,99.0,1.0,0.0,99.3,0.7,0.0,98.8,0.4,0.8,79.8,0.4,19.8,89.0,0.3,10.7,87.3,0.2,12.5,77.1,1.0,21.9
Stung Treng,2020,10,49,671,347,43,32,14,10,,0,0,14,70,38,122,64,0,0,68,30,0,0,48,25,0,0,35,21,0,0,36,22,0,0,35,13,0,0,37,19,0,0,18,6,0,0,18,11,0,0,15,10,0,0,7,6,0,0,0,0,0,0,671,347,0,0,3,10,24,6,0,0,3,5,20,4,0,0,0,0,2,0,0,0,55.7,0.0,44.3,70.6,0.0,29.4,72.9,0.0,27.1,100.0,0.0,0.0,97.2,0.0,2.8,100.0,0.0,0.0,48.6,0.0,51.4,100.0,0.0,0.0,83.3,0.0,16.7,46.7,0.0,53.3,0.0,0.0,100.0,,,100.0
Svay Rieng,2020,8,26,373,166,44,38,19,14,,14,12,8,59,25,71,27,0,0,43,24,2,1,36,15,0,0,21,8,0,0,20,4,0,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,166,2,1,2,2,20,20,0,0,2,2,18,16,0,0,0,0,2,3,0,0,60.6,0.0,39.4,83.2,4.6,12.2,58.3,0.0,41.7,95.2,0.0,4.8,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Takeo,2020,52,274,5697,2797,468,241,181,91,,22,12,170,593,268,826,384,3,1,658,328,12,6,427,199,3,3,483,242,4,2,425,233,4,2,368,192,4,0,224,118,4,0,224,119,0,0,210,103,2,0,218,99,0,0,185,86,2,1,167,88,4,2,5697,2797,42,17,21,39,204,177,25,2,18,22,115,82,4,0,0,6,32,6,0,0,79.6,0.4,20.0,64.3,1.8,33.9,99.3,0.7,0.0,87.9,0.8,11.3,86.5,0.9,12.6,60.4,1.1,38.5,98.2,1.8,0.0,93.8,0.0,6.2,99.0,1.0,0.0,84.9,0.0,15.1,90.2,1.1,8.7,75.0,2.4,22.6
Tbaung Khmum,2020,27,164,4692,2671,243,155,34,19,,28,18,43,401,164,400,208,14,5,349,180,17,10,324,153,23,8,263,140,19,13,226,119,10,8,203,120,10,9,729,399,23,17,574,330,13,11,475,232,3,3,293,234,1,1,179,147,0,0,134,94,0,0,4692,2671,133,85,1,3,96,140,3,0,1,2,69,83,0,0,0,0,7,32,1,0,86.9,3.5,9.6,92.7,4.9,2.4,80.3,7.1,12.6,85.4,7.2,7.4,89.6,4.4,6.0,95.1,4.9,0.0,78.1,3.2,18.7,82.4,2.3,15.3,61.5,0.6,37.9,61.0,0.3,38.7,74.9,0.0,25.1,45.9,0.0,54.1
