Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
Kratie,2019,441,2781,2577,1623,372,132,13347,6067,1858,735,12119,5754,1168,436,11126,5180,854,319,9807,4759,515,195,9111,4668,353,105,7753,4021,200,83,5624,2926,107,31,4184,2260,54,16,3299,1813,93,32,2346,1278,28,5,1969,1114,18,6,1893,1035,44,12,82578,40875,5292,1975,48,676,1596,248,8,0,10.0,8.3,9.3,8.6,9.1,14.4,20.0,20.9,22.7,13.7,8.6,18.8
Mondul Kiri,2019,127,801,839,408,53,11,3055,1501,180,89,2881,1441,120,50,2469,1164,95,38,2441,1257,76,27,2055,1015,41,9,1722,907,26,13,1340,691,49,14,1085,581,30,13,931,498,86,26,604,334,1,0,491,266,0,0,453,251,0,0,19527,9906,704,279,32,251,484,72,0,0,5.9,5.5,8.7,6.3,12.1,8.2,15.5,14.8,12.3,11.3,4.9,5.5
Otdar Meanchey,2019,359,1957,1561,721,318,73,7847,3603,1072,411,6670,3049,625,222,6314,2983,532,187,5922,2865,328,105,5523,2723,219,76,4909,2496,182,64,4196,2212,180,53,3135,1580,75,21,2636,1350,194,64,1879,983,44,12,1475,805,21,3,1261,662,23,9,51767,25311,3495,1227,104,319,902,225,11,0,8.1,3.9,6.3,5.8,6.9,32.8,15.8,16.3,27.9,13.3,9.8,13.4
Pailin,2019,81,512,636,341,81,22,2055,961,191,70,1979,928,144,49,1789,840,112,49,1631,753,51,12,1583,794,59,10,1451,714,12,1,1413,746,54,14,1085,587,18,4,930,469,76,31,593,325,13,3,499,280,1,0,416,225,14,11,15424,7622,745,254,19,43,408,163,3,0,4.9,0.2,3.3,3.6,5.1,6.4,18.1,13.5,14.0,18.2,10.5,38.0
Phnom Penh,2019,374,5501,9445,5506,1133,439,24321,11365,1549,556,24416,11502,1054,343,22491,10689,753,257,21335,10002,675,212,23256,11197,467,145,22231,11039,295,89,20286,10198,633,229,16240,8165,342,124,16108,8023,547,179,13391,6905,113,40,12367,6446,86,31,12265,6146,580,219,228707,111677,7094,2424,324,1785,3613,3202,420,5,0.3,,,0.5,1.0,16.3,7.1,1.6,33.4,,,44.0
Preah Sihanouk,2019,157,1200,1570,781,232,75,5217,2573,334,136,4694,2215,248,86,4538,2153,215,71,4098,1975,134,46,4186,2163,81,26,3955,1973,93,20,3475,1681,196,40,2517,1342,61,27,2204,1103,131,40,1595,868,16,7,1206,662,3,1,1334,678,205,106,39019,19386,1717,606,14,194,1003,344,15,0,5.9,1.7,2.9,6.0,0.9,75.5,21.2,14.2,83.4,11.8,23.0,7.8
Preah Vihear,2019,407,2132,2041,1061,321,88,8120,3735,1353,520,7166,3441,819,318,6492,3077,511,168,5720,2834,359,129,5258,2666,179,58,4782,2517,123,43,4213,2261,61,28,3278,1871,28,13,2817,1537,44,11,2089,1160,9,2,1589,875,0,0,1339,682,7,5,52863,26656,3493,1295,110,327,1274,270,14,0,1.5,3.0,5.5,5.8,6.3,13.7,15.9,10.4,30.5,15.5,2.7,8.4
Prey Veng,2019,1057,6676,5648,2699,1863,450,25789,11949,3032,1154,25136,11544,2039,695,24917,11367,1718,548,24873,11710,1300,460,24510,11654,1016,327,23005,11246,793,247,18555,9619,132,42,15452,8217,99,21,13298,6932,230,71,9576,5327,75,37,7724,4206,42,11,6676,3476,168,57,219511,107247,10644,3670,126,1325,2425,1735,36,1,2.1,1.7,1.0,1.7,1.9,23.9,11.6,16.1,41.7,18.7,8.5,16.1
Pursat,2019,543,3281,3138,1540,679,191,13784,6451,2087,850,12590,6047,1146,436,11930,5672,918,342,11005,5367,591,241,10187,5150,373,121,9342,4820,249,99,7900,4083,70,24,6000,3259,33,10,5150,2702,137,35,3739,2101,16,2,3254,1782,16,3,2815,1498,79,31,97696,48932,5715,2194,70,645,1710,684,29,0,2.2,2.2,5.1,5.4,5.2,12.0,16.6,15.5,12.7,11.5,0.7,17.3
Ratanak Kiri,2019,311,1856,1316,624,125,33,8650,3994,739,292,7918,3660,365,158,7338,3625,261,111,6657,3280,164,57,5449,2656,106,49,4600,2330,48,12,3448,1777,36,5,2488,1259,2,0,2375,1172,58,21,1612,788,2,0,1207,563,4,2,980,446,23,10,52722,25550,1808,717,60,213,817,172,6,0,12.0,6.5,7.6,15.0,12.0,42.4,20.1,2.3,28.2,11.9,6.8,7.6
Siemreap,2019,1077,7066,5769,3579,1809,792,32154,14930,4354,1657,29636,13846,2782,970,27388,12974,2060,648,26485,12877,1262,391,25643,12868,891,252,23808,12239,555,151,20619,10743,957,263,16066,8794,402,130,13888,7618,529,168,10987,6437,230,80,8750,5067,107,33,7956,4628,161,58,243380,123021,14290,4801,53,623,3378,1572,142,1,2.4,2.2,2.7,3.0,2.2,14.2,13.1,12.3,15.5,13.1,5.2,19.6
Stung Treng,2019,246,1454,1321,740,146,46,6086,2800,1079,458,5114,2482,605,264,4784,2248,412,181,4028,2008,241,84,3650,1926,104,42,2979,1537,66,32,2206,1099,62,23,1573,898,31,17,1387,723,33,11,886,478,22,3,814,414,2,1,677,350,29,9,34184,16963,2686,1125,84,360,804,73,1,0,7.2,11.5,11.3,6.5,11.0,35.6,18.1,16.2,18.1,14.9,,14.2
Svay Rieng,2019,509,3613,3694,1423,933,211,13280,6361,1082,415,12139,5702,608,210,11863,5670,485,158,11786,5649,360,108,12202,6076,304,85,11369,5674,195,51,10023,5021,268,52,8198,4347,119,31,6771,3483,145,39,5221,2793,66,22,4193,2161,18,2,3792,2005,77,32,110837,54942,3727,1205,100,528,2019,1012,34,1,2.1,,1.0,0.2,1.6,5.0,13.2,16.9,17.4,18.3,11.9,19.8
Takeo,2019,793,5706,6473,2652,1724,402,19825,9190,2419,869,19460,9084,1866,661,18676,8833,1765,571,18877,8996,1325,400,19359,9507,1233,395,18664,9210,1207,351,16561,8534,579,189,14561,7376,429,151,13507,6851,641,150,10724,5779,148,36,9529,5081,76,23,8431,4442,332,126,188174,92883,12020,3922,87,1088,3166,2048,78,6,0.7,1.5,2.1,2.5,3.6,9.6,11.6,11.9,17.0,13.2,9.0,29.2
Tbaung Khmum,2019,710,4686,3725,2068,848,246,22202,10243,2332,921,20971,9882,1553,581,19375,9240,1151,417,18001,8638,831,297,17560,8749,632,238,15482,7839,381,114,12596,6698,479,137,9387,5086,248,75,7945,4368,286,106,5420,3083,84,33,4442,2578,27,7,3825,2217,84,42,157206,78621,8088,2968,105,743,2091,755,31,0,5.5,5.3,6.1,5.6,7.1,48.8,18.5,16.9,41.0,8.9,8.5,22.6
Banteay Meanchey,2020,822,4882,4766,2503,938,243,18994,8921,1737,669,18253,8782,1130,425,16506,7837,790,271,16301,7923,627,206,15049,7352,421,140,14844,7380,325,108,12398,6475,117,40,10554,5648,54,15,8764,4738,80,28,6038,3438,20,12,5205,2926,8,2,4515,2623,82,45,147421,74043,5391,1961,106,797,2217,1553,93,0,5.2,5.3,4.5,6.5,6.1,5.9,10.2,13.3,13.3,12.2,6.7,24.7
Battambang,2020,1170,7827,7099,4290,1758,670,32644,15287,4614,1801,29477,13891,2873,1098,27532,13050,1994,763,26587,12749,1282,478,25028,12316,936,307,23067,11511,653,239,19461,10172,167,58,16644,8987,138,65,13931,7514,252,101,9524,5313,53,30,8071,4452,37,19,7373,4112,224,117,239339,119354,13223,5076,249,913,2704,2942,271,20,3.1,6.3,6.3,6.1,8.4,22.8,13.7,13.4,25.8,15.5,7.6,38.7
Kampong Cham,2020,820,6116,5840,3411,1779,722,26921,12429,4424,1663,25295,12431,3017,1148,23026,10869,2348,841,22261,12865,1767,628,21037,13976,1288,443,19977,9820,862,287,16844,8991,141,72,14422,7846,131,46,12577,6878,251,97,9403,5311,48,24,8448,4748,63,31,7491,4278,209,127,207702,110442,14549,5407,175,1385,2441,1728,107,4,4.2,5.3,4.7,5.9,5.8,35.2,11.2,13.1,36.1,13.4,9.0,41.3
Kampong Chhnang,2020,472,3307,3586,1776,740,213,14183,6774,1930,746,13382,6424,1325,450,12271,5847,1079,326,11813,6099,798,242,11284,6292,647,201,10817,5443,383,101,9783,5297,54,24,8517,4623,60,20,7020,3842,60,27,4856,2752,7,2,4148,2276,3,1,3749,2150,134,70,111823,57819,6480,2210,54,467,1581,1419,64,1,1.5,2.9,2.4,3.8,4.4,10.1,12.4,15.1,30.9,16.6,14.8,47.3
Kampong Speu,2020,631,4182,4308,1970,871,177,19207,9013,2057,846,18981,9253,1189,481,18125,8613,1092,446,17017,8193,867,335,16776,8084,591,228,16371,7988,464,169,14031,7349,64,13,11429,5943,54,19,9190,4759,135,35,5900,3098,36,8,4937,2577,27,19,4226,2279,48,21,156190,77149,6624,2620,100,846,1772,1494,95,1,2.9,3.2,3.9,4.3,5.9,30.9,18.5,19.9,53.2,21.8,13.0,62.9
Kampong Thom,2020,800,4920,4463,2526,828,218,20594,9975,3077,1254,19597,9108,1580,578,17053,8140,1347,478,16157,9508,864,315,14283,9443,566,189,13610,6983,426,139,11644,6234,85,34,10016,5484,47,9,8662,4605,107,34,6441,3703,26,4,5743,3162,9,2,4964,2818,90,32,148764,79163,8224,3068,129,670,1996,1546,122,0,3.7,5.1,5.3,7.4,8.4,30.4,14.8,15.7,25.5,13.9,8.3,39.2
Kampot,2020,612,4710,4740,2374,998,226,14818,6860,1593,631,13809,6571,860,278,12471,5798,600,181,11982,5751,422,153,11282,5425,285,86,11154,5394,260,79,10392,5331,143,56,9057,4815,72,32,7982,4156,199,51,5526,2953,43,17,5312,2788,34,18,4629,2473,102,44,118414,58315,4613,1626,83,799,2303,1482,73,0,4.5,3.9,4.4,5.6,5.2,16.2,11.3,14.4,24.0,14.3,9.4,36.9
Kandal,2020,761,6810,7299,4114,1516,402,31962,14772,5786,2239,29303,13751,3874,1452,27449,12960,3247,1215,25903,12553,2570,910,24049,11469,1989,670,23034,11198,1344,491,20965,10761,193,79,18850,9905,199,76,15976,8308,186,47,11393,6220,77,28,10235,5614,33,8,8845,4970,163,71,247964,122481,19661,7286,274,1343,2870,2611,201,0,2.7,3.0,3.4,3.7,5.0,3.9,9.8,10.1,14.7,11.7,10.4,34.6
Kep,2020,50,300,476,258,97,19,1079,499,136,51,1055,508,78,23,948,466,40,12,881,423,21,4,798,381,21,7,720,344,9,2,646,367,4,1,571,290,3,0,516,261,37,10,329,184,0,0,335,184,0,0,319,153,1,1,8197,4060,350,111,0,23,266,177,10,0,4.7,2.4,6.0,9.0,8.7,15.2,10.3,9.4,11.3,8.2,5.9,15.0
Koh Kong,2020,223,1204,1199,578,186,53,3590,1763,366,154,3371,1571,233,88,2816,1330,123,44,2628,1259,61,21,2438,1178,69,25,2362,1144,35,9,2144,1085,21,9,1873,1008,25,7,1690,841,46,12,1243,643,4,1,1048,540,1,0,840,438,11,6,26043,12800,995,376,13,186,783,215,2,0,5.0,8.8,5.9,10.7,6.5,31.8,10.6,9.9,27.3,12.9,9.6,36.7
Kratie,2020,446,2993,2696,1706,404,144,13526,6401,2434,1003,12639,6112,1440,552,10818,5547,1003,400,10237,5906,742,275,8909,5192,454,167,7875,4050,304,135,5908,3239,50,16,4668,2535,24,4,3804,2013,104,26,2515,1414,1,1,2193,1240,1,1,1948,1052,23,11,85040,44701,6580,2591,36,625,1635,376,24,0,4.4,7.0,8.3,7.9,10.8,30.1,18.1,17.4,27.0,14.1,7.8,29.7
Mondul Kiri,2020,132,862,937,484,68,12,3166,1515,356,151,2861,1395,264,87,2654,1411,218,97,2457,1321,85,36,2170,1166,86,27,1917,1051,52,11,1562,793,27,3,1166,639,19,2,993,529,33,15,744,400,5,3,669,364,1,0,504,277,15,7,20863,10861,1161,439,59,210,577,87,4,0,6.5,6.2,5.8,5.7,11.2,15.4,13.5,12.7,12.2,8.2,8.6,14.4
Otdar Meanchey,2020,366,2090,1641,767,349,87,8162,3768,1255,471,7126,3281,750,277,6572,3080,532,187,5880,2735,386,139,5386,2702,203,85,4916,2514,116,45,4239,2248,84,37,3564,1916,50,14,2938,1615,53,14,2126,1087,41,15,1763,938,19,10,1460,779,58,24,54132,26663,3547,1318,111,340,903,276,11,0,6.4,6.3,6.7,7.3,8.6,35.8,13.8,14.3,24.5,16.5,11.5,7.6
Pailin,2020,82,540,669,355,95,30,2114,1015,341,131,1716,811,159,66,1705,839,138,55,1593,774,93,39,1441,737,83,31,1312,652,18,10,1354,714,20,4,1203,631,9,2,1007,553,47,21,696,417,15,5,649,351,5,1,513,288,19,10,15303,7782,947,375,12,75,366,210,6,0,8.1,6.9,6.8,11.0,9.1,33.1,15.2,15.5,23.3,13.2,10.9,24.4
Phnom Penh,2020,380,5707,9242,5332,1170,453,27221,12592,2802,1117,23087,11019,1684,665,22053,10201,1287,462,22636,10941,931,356,20740,10032,583,199,19818,9527,407,155,20889,10281,259,119,19952,9921,318,144,18114,9050,488,176,13448,6896,30,15,13790,6988,17,5,13865,6958,664,286,235613,114406,9470,3699,345,1254,3330,3742,563,8,8.9,4.7,5.1,5.3,5.1,32.8,5.5,2.8,32.7,4.0,,43.6
Preah Sihanouk,2020,159,1252,1658,856,272,81,6219,2900,941,395,5248,2491,590,244,4753,2251,355,142,4332,2086,258,85,4032,1981,139,32,3656,1817,136,41,3587,1870,55,15,2979,1541,18,8,2652,1284,81,31,1798,965,6,2,1651,844,1,0,1372,741,12,3,42279,20771,2592,998,44,179,948,449,38,0,6.8,5.9,7.5,5.5,7.9,20.4,11.0,10.3,20.2,10.9,10.6,21.2
Preah Vihear,2020,411,2228,2178,1139,350,109,8149,3908,1792,748,7142,3513,957,381,6755,3193,684,282,5957,3012,441,158,5198,2650,246,98,4704,2466,113,37,4110,2185,24,7,3480,1938,8,1,3081,1710,18,9,2286,1296,13,9,1857,1014,1,0,1561,861,14,7,54280,27746,4311,1737,96,312,1353,384,33,0,6.6,5.0,6.8,8.7,8.3,18.6,13.9,12.1,17.9,19.4,12.3,39.5
Prey Veng,2020,1071,6884,5860,2826,1926,504,27569,12717,3678,1440,26244,12069,2346,847,24337,11298,2076,693,23802,11119,1579,534,23661,11070,1261,437,23118,11147,959,303,19676,10175,35,16,16992,8931,17,8,14153,7425,150,63,9818,5310,15,3,8395,4498,15,10,7503,4135,201,85,225268,109894,12332,4439,252,1338,2028,2138,96,1,2.8,2.4,3.0,3.6,4.2,22.4,11.1,13.7,35.0,15.6,9.6,40.1
Pursat,2020,551,3355,3140,1585,735,205,14645,6862,2586,1074,15203,8279,1408,550,11668,5810,1129,452,10882,5956,677,233,10156,6233,491,163,9534,4876,322,99,7979,4304,12,5,6750,3663,12,4,5811,3068,39,17,4157,2345,0,0,3601,1926,0,0,3062,1678,111,49,103448,55000,6787,2646,62,632,1608,782,55,1,3.6,6.1,4.2,6.4,6.5,20.6,12.2,13.4,19.5,12.5,8.2,30.2
Ratanak Kiri,2020,328,1967,1430,699,142,43,7631,3713,736,321,7369,3474,503,207,6939,3327,384,141,6513,3188,281,118,6002,3158,174,72,5205,2664,116,40,3795,1912,5,1,3021,1657,1,1,2519,1276,71,22,1789,889,6,4,1643,825,0,0,1303,663,17,7,53729,26746,2294,934,69,320,774,259,8,0,9.8,7.7,8.4,10.6,12.5,30.8,15.4,10.0,38.0,17.4,11.2,19.1
Siemreap,2020,1109,7625,5943,3759,1758,734,34550,16027,6005,2321,30146,15413,3428,1248,27342,12964,2573,853,25934,13054,1714,537,24001,12472,1400,476,23049,11687,874,271,20759,11164,525,167,17794,9855,348,141,15240,8442,317,92,11788,6806,134,46,10630,5949,87,33,9022,5271,165,102,250255,129104,17570,6287,180,737,3136,1736,153,1,5.2,5.6,4.9,6.3,7.2,29.0,11.6,11.2,29.1,11.3,7.3,35.2
Stung Treng,2020,259,1782,1411,787,194,57,6482,3103,1469,641,5398,2542,806,343,4832,2398,522,230,4185,2208,361,144,3701,2059,223,89,3283,1729,142,68,2371,1298,18,6,1939,1051,9,2,1594,804,13,5,1055,572,1,1,1003,567,1,0,801,423,11,3,36644,18754,3576,1532,62,276,901,173,4,0,5.6,6.4,7.6,8.8,8.9,49.0,19.8,12.9,33.3,11.8,5.2,13.6
Svay Rieng,2020,511,3568,3747,1499,971,221,14565,6866,1664,633,14123,6426,868,299,12580,6102,639,211,11848,5643,545,175,11257,5458,368,112,11069,5433,288,87,10601,5413,50,17,8648,4414,25,8,7091,3454,65,16,4743,2492,1,0,4169,2138,2,0,3740,1980,45,16,114434,55819,4560,1574,54,479,1865,1290,59,0,2.5,3.2,2.8,3.2,4.3,23.1,13.7,18.7,39.4,18.2,12.6,48.2
Takeo,2020,802,5907,6486,2754,1771,393,21344,9958,2696,1027,20503,9666,1819,634,18695,8914,1507,526,18210,8682,1137,408,17550,8460,941,299,17600,8559,791,216,16847,8623,208,95,15317,7900,289,131,13436,6869,165,47,10057,5271,38,20,9788,5090,29,18,8633,4623,188,101,187980,92615,9808,3522,122,802,3039,2392,130,1,2.1,2.6,2.7,3.0,3.4,10.3,6.9,9.3,20.9,10.4,10.4,32.5
Tbaung Khmum,2020,723,4891,3904,2197,915,271,21338,9970,3249,1301,20082,9583,2116,791,18704,8795,1605,597,17816,8643,1119,403,16536,8241,857,314,14992,7449,518,179,12657,6778,125,43,10489,5616,66,25,8828,4827,245,100,5787,3264,31,12,5266,2945,18,8,4370,2468,124,55,156865,78579,10073,3828,109,586,2039,1107,64,0,4.9,6.5,5.8,7.4,7.7,37.5,13.5,15.3,41.2,15.3,8.0,43.8
